production_plan_id,plant_warehouse_id,finished_material_id,planned_qty,planned_start_at,planned_end_at,plan_status,priority,material_readiness_rate,updated_at
PP-0000537,WH-04,MAT-0151,16072,2025-09-03T20:00:00+08:00,2025-09-05T22:00:00+08:00,completed,urgent,0.8319,2025-09-04T14:00:00+08:00
PP-0000538,WH-04,MAT-0015,13096,2026-05-27T01:00:00+08:00,2026-05-28T13:00:00+08:00,completed,normal,0.5769,2026-05-27T20:00:00+08:00
PP-0000539,WH-02,MAT-0154,4258,2026-01-17T12:00:00+08:00,2026-01-19T22:00:00+08:00,released,normal,0.7356,2026-01-19T11:00:00+08:00
PP-0000540,WH-02,MAT-0063,7585,2025-07-27T01:00:00+08:00,2025-07-30T15:00:00+08:00,released,normal,0.9592,2025-07-27T10:00:00+08:00
PP-0000541,WH-04,MAT-0236,18145,2025-11-02T14:00:00+08:00,2025-11-03T06:00:00+08:00,completed,normal,0.6496,2025-11-03T03:00:00+08:00
PP-0000542,WH-02,MAT-0076,8775,2025-12-15T04:00:00+08:00,2025-12-16T00:00:00+08:00,planned,normal,0.9498,2025-12-16T05:00:00+08:00
PP-0000543,WH-04,MAT-0097,1491,2025-06-26T01:00:00+08:00,2025-06-28T18:00:00+08:00,completed,normal,0.5656,2025-06-27T22:00:00+08:00
PP-0000544,WH-02,MAT-0144,10153,2025-06-30T05:00:00+08:00,2025-07-01T21:00:00+08:00,released,normal,0.9634,2025-06-30T13:00:00+08:00
PP-0000545,WH-04,MAT-0124,14331,2025-07-18T17:00:00+08:00,2025-07-23T10:00:00+08:00,completed,urgent,0.602,2025-07-18T20:00:00+08:00
PP-0000546,WH-04,MAT-0198,18399,2025-11-27T12:00:00+08:00,2025-11-30T02:00:00+08:00,at_risk,high,0.9863,2025-11-29T10:00:00+08:00
PP-0000547,WH-04,MAT-0141,5839,2025-08-28T23:00:00+08:00,2025-08-30T16:00:00+08:00,completed,normal,0.7453,2025-08-30T17:00:00+08:00
PP-0000548,WH-04,MAT-0027,11489,2025-10-17T19:00:00+08:00,2025-10-20T10:00:00+08:00,planned,urgent,0.9553,2025-10-18T19:00:00+08:00
PP-0000549,WH-02,MAT-0063,10181,2026-04-28T08:00:00+08:00,2026-04-30T13:00:00+08:00,released,normal,0.8727,2026-04-29T04:00:00+08:00
PP-0000550,WH-04,MAT-0196,15050,2026-06-19T17:00:00+08:00,2026-06-20T06:00:00+08:00,completed,normal,0.7996,2026-06-15T08:00:00+08:00
PP-0000551,WH-04,MAT-0226,11109,2025-11-30T11:00:00+08:00,2025-12-02T07:00:00+08:00,released,normal,0.7986,2025-12-01T15:00:00+08:00
PP-0000552,WH-04,MAT-0093,11365,2025-11-08T01:00:00+08:00,2025-11-11T12:00:00+08:00,released,normal,0.6003,2025-11-09T16:00:00+08:00
PP-0000553,WH-04,MAT-0039,9792,2025-09-07T06:00:00+08:00,2025-09-11T17:00:00+08:00,completed,high,0.9739,2025-09-07T21:00:00+08:00
PP-0000554,WH-02,MAT-0091,19477,2025-10-11T20:00:00+08:00,2025-10-14T23:00:00+08:00,completed,normal,0.8116,2025-10-13T17:00:00+08:00
PP-0000555,WH-04,MAT-0200,15021,2025-07-23T21:00:00+08:00,2025-07-24T05:00:00+08:00,completed,normal,0.9348,2025-07-25T08:00:00+08:00
PP-0000556,WH-02,MAT-0064,14115,2025-07-20T06:00:00+08:00,2025-07-22T23:00:00+08:00,planned,normal,0.6792,2025-07-21T19:00:00+08:00
PP-0000557,WH-02,MAT-0163,17773,2026-04-11T06:00:00+08:00,2026-04-11T21:00:00+08:00,completed,normal,0.611,2026-04-11T13:00:00+08:00
PP-0000558,WH-04,MAT-0164,2027,2025-11-17T11:00:00+08:00,2025-11-21T01:00:00+08:00,released,normal,0.7517,2025-11-19T04:00:00+08:00
PP-0000559,WH-02,MAT-0075,8305,2025-06-21T13:00:00+08:00,2025-06-26T08:00:00+08:00,completed,normal,0.7429,2025-06-22T09:00:00+08:00
PP-0000560,WH-02,MAT-0168,6207,2026-06-07T09:00:00+08:00,2026-06-10T14:00:00+08:00,planned,normal,0.7755,2026-06-08T07:00:00+08:00
PP-0000561,WH-02,MAT-0011,10597,2026-06-20T09:00:00+08:00,2026-06-22T20:00:00+08:00,completed,high,0.7504,2026-06-15T08:00:00+08:00
PP-0000562,WH-04,MAT-0157,9580,2026-05-15T04:00:00+08:00,2026-05-15T19:00:00+08:00,planned,normal,0.9011,2026-05-15T12:00:00+08:00
PP-0000563,WH-04,MAT-0035,855,2026-04-28T17:00:00+08:00,2026-04-29T23:00:00+08:00,at_risk,normal,0.6353,2026-04-28T23:00:00+08:00
PP-0000564,WH-04,MAT-0165,16015,2026-06-16T06:00:00+08:00,2026-06-17T03:00:00+08:00,planned,normal,0.9114,2026-06-15T08:00:00+08:00
PP-0000565,WH-04,MAT-0117,13627,2026-06-16T11:00:00+08:00,2026-06-19T07:00:00+08:00,completed,normal,0.9325,2026-06-15T08:00:00+08:00
PP-0000566,WH-02,MAT-0071,18116,2025-11-24T10:00:00+08:00,2025-11-24T20:00:00+08:00,at_risk,normal,0.7468,2025-11-25T19:00:00+08:00
PP-0000567,WH-04,MAT-0184,3982,2025-07-30T08:00:00+08:00,2025-08-02T10:00:00+08:00,planned,high,0.5629,2025-07-30T15:00:00+08:00
PP-0000568,WH-02,MAT-0210,12569,2025-08-22T18:00:00+08:00,2025-08-27T04:00:00+08:00,completed,normal,0.6375,2025-08-22T21:00:00+08:00
PP-0000569,WH-02,MAT-0013,7685,2025-10-10T06:00:00+08:00,2025-10-11T00:00:00+08:00,released,high,0.615,2025-10-11T21:00:00+08:00
PP-0000570,WH-04,MAT-0098,6724,2025-07-31T08:00:00+08:00,2025-08-03T03:00:00+08:00,completed,high,0.616,2025-08-01T13:00:00+08:00
PP-0000571,WH-04,MAT-0179,19985,2025-08-25T05:00:00+08:00,2025-08-25T15:00:00+08:00,planned,normal,0.682,2025-08-26T07:00:00+08:00
PP-0000572,WH-02,MAT-0138,14695,2025-08-21T22:00:00+08:00,2025-08-23T22:00:00+08:00,completed,normal,0.9358,2025-08-22T20:00:00+08:00
PP-0000573,WH-02,MAT-0128,18197,2026-04-26T23:00:00+08:00,2026-04-29T09:00:00+08:00,at_risk,normal,0.8792,2026-04-27T06:00:00+08:00
PP-0000574,WH-04,MAT-0129,13976,2025-09-26T14:00:00+08:00,2025-09-30T12:00:00+08:00,released,normal,0.8998,2025-09-27T14:00:00+08:00
PP-0000575,WH-02,MAT-0201,11375,2025-12-03T13:00:00+08:00,2025-12-04T23:00:00+08:00,completed,normal,0.8302,2025-12-05T11:00:00+08:00
PP-0000576,WH-02,MAT-0014,19087,2025-12-14T15:00:00+08:00,2025-12-15T23:00:00+08:00,released,normal,0.9841,2025-12-16T10:00:00+08:00
PP-0000577,WH-02,MAT-0154,1545,2025-11-21T19:00:00+08:00,2025-11-26T15:00:00+08:00,completed,normal,0.6227,2025-11-22T16:00:00+08:00
PP-0000578,WH-02,MAT-0059,1451,2025-06-20T09:00:00+08:00,2025-06-23T17:00:00+08:00,completed,high,0.7238,2025-06-21T02:00:00+08:00
PP-0000579,WH-04,MAT-0121,6940,2026-02-05T18:00:00+08:00,2026-02-07T04:00:00+08:00,paused,high,0.9992,2026-02-05T19:00:00+08:00
PP-0000580,WH-04,MAT-0235,15836,2026-02-27T07:00:00+08:00,2026-02-28T14:00:00+08:00,planned,normal,0.8614,2026-02-28T06:00:00+08:00
PP-0000581,WH-02,MAT-0121,7883,2025-12-29T14:00:00+08:00,2026-01-01T20:00:00+08:00,completed,high,0.9357,2025-12-29T19:00:00+08:00
PP-0000582,WH-02,MAT-0024,19271,2026-07-13T22:00:00+08:00,2026-07-17T17:00:00+08:00,completed,normal,0.7038,2026-06-15T08:00:00+08:00
PP-0000583,WH-04,MAT-0097,4581,2025-12-15T13:00:00+08:00,2025-12-17T23:00:00+08:00,completed,normal,0.7963,2025-12-16T03:00:00+08:00
PP-0000584,WH-02,MAT-0224,4143,2025-10-16T06:00:00+08:00,2025-10-17T01:00:00+08:00,released,urgent,0.752,2025-10-16T23:00:00+08:00
PP-0000585,WH-04,MAT-0166,868,2026-04-15T19:00:00+08:00,2026-04-17T03:00:00+08:00,planned,normal,0.9805,2026-04-16T19:00:00+08:00
PP-0000586,WH-04,MAT-0226,11405,2026-04-01T14:00:00+08:00,2026-04-06T00:00:00+08:00,planned,normal,0.8139,2026-04-01T16:00:00+08:00
PP-0000587,WH-02,MAT-0070,8605,2026-06-02T01:00:00+08:00,2026-06-07T00:00:00+08:00,at_risk,high,0.6811,2026-06-03T12:00:00+08:00
PP-0000588,WH-04,MAT-0008,8487,2025-11-04T01:00:00+08:00,2025-11-06T02:00:00+08:00,completed,high,0.6031,2025-11-05T15:00:00+08:00
PP-0000589,WH-02,MAT-0010,6767,2025-06-24T00:00:00+08:00,2025-06-26T05:00:00+08:00,completed,normal,0.586,2025-06-25T19:00:00+08:00
PP-0000590,WH-02,MAT-0043,9302,2025-09-10T04:00:00+08:00,2025-09-12T05:00:00+08:00,released,high,0.8662,2025-09-10T21:00:00+08:00
PP-0000591,WH-04,MAT-0186,12904,2025-09-27T09:00:00+08:00,2025-09-29T03:00:00+08:00,completed,normal,0.7064,2025-09-28T04:00:00+08:00
PP-0000592,WH-02,MAT-0189,13614,2025-08-21T09:00:00+08:00,2025-08-22T23:00:00+08:00,completed,normal,0.6823,2025-08-23T06:00:00+08:00
PP-0000593,WH-02,MAT-0131,2425,2025-06-29T07:00:00+08:00,2025-07-01T05:00:00+08:00,completed,normal,0.8002,2025-06-30T07:00:00+08:00
PP-0000594,WH-02,MAT-0168,13731,2025-07-21T07:00:00+08:00,2025-07-25T12:00:00+08:00,planned,high,0.5518,2025-07-22T08:00:00+08:00
PP-0000595,WH-02,MAT-0067,17956,2025-08-28T06:00:00+08:00,2025-08-31T00:00:00+08:00,completed,normal,0.594,2025-08-29T08:00:00+08:00
PP-0000596,WH-02,MAT-0058,1048,2026-04-17T16:00:00+08:00,2026-04-18T02:00:00+08:00,released,normal,0.9267,2026-04-19T02:00:00+08:00
PP-0000597,WH-04,MAT-0033,10331,2026-03-05T05:00:00+08:00,2026-03-08T10:00:00+08:00,planned,normal,0.9657,2026-03-06T19:00:00+08:00
PP-0000598,WH-02,MAT-0078,16836,2026-04-18T19:00:00+08:00,2026-04-22T12:00:00+08:00,at_risk,normal,0.9588,2026-04-18T19:00:00+08:00
PP-0000599,WH-04,MAT-0017,4478,2025-09-13T14:00:00+08:00,2025-09-15T03:00:00+08:00,completed,normal,0.9801,2025-09-14T06:00:00+08:00
PP-0000600,WH-04,MAT-0041,13373,2025-10-09T05:00:00+08:00,2025-10-13T23:00:00+08:00,at_risk,high,0.8208,2025-10-11T02:00:00+08:00
PP-0000601,WH-02,MAT-0205,2241,2025-09-25T13:00:00+08:00,2025-09-26T04:00:00+08:00,planned,normal,0.5543,2025-09-26T13:00:00+08:00
PP-0000602,WH-04,MAT-0002,3166,2026-02-27T10:00:00+08:00,2026-02-28T21:00:00+08:00,released,normal,0.6002,2026-03-01T03:00:00+08:00
PP-0000603,WH-02,MAT-0198,6373,2026-07-17T13:00:00+08:00,2026-07-21T03:00:00+08:00,completed,normal,0.6503,2026-06-15T08:00:00+08:00
PP-0000604,WH-02,MAT-0211,18393,2025-11-21T23:00:00+08:00,2025-11-24T23:00:00+08:00,planned,normal,0.6944,2025-11-23T12:00:00+08:00
PP-0000605,WH-02,MAT-0138,5708,2025-09-22T14:00:00+08:00,2025-09-24T16:00:00+08:00,completed,normal,0.8608,2025-09-22T20:00:00+08:00
PP-0000606,WH-04,MAT-0046,19381,2026-05-19T02:00:00+08:00,2026-05-19T21:00:00+08:00,paused,normal,0.9283,2026-05-19T06:00:00+08:00
PP-0000607,WH-04,MAT-0027,790,2026-05-18T19:00:00+08:00,2026-05-21T11:00:00+08:00,released,normal,0.6287,2026-05-19T08:00:00+08:00
PP-0000608,WH-04,MAT-0174,804,2025-07-05T21:00:00+08:00,2025-07-08T16:00:00+08:00,released,high,0.9692,2025-07-07T04:00:00+08:00
PP-0000609,WH-02,MAT-0088,10929,2026-07-11T06:00:00+08:00,2026-07-13T02:00:00+08:00,completed,normal,0.9842,2026-06-15T08:00:00+08:00
PP-0000610,WH-02,MAT-0022,13074,2026-03-30T19:00:00+08:00,2026-03-31T21:00:00+08:00,completed,normal,0.6794,2026-04-01T11:00:00+08:00
PP-0000611,WH-04,MAT-0108,452,2025-10-21T04:00:00+08:00,2025-10-22T01:00:00+08:00,released,high,0.6695,2025-10-21T13:00:00+08:00
PP-0000612,WH-02,MAT-0211,10603,2025-10-17T18:00:00+08:00,2025-10-20T20:00:00+08:00,released,normal,0.6284,2025-10-18T19:00:00+08:00
PP-0000613,WH-02,MAT-0017,8587,2025-07-31T07:00:00+08:00,2025-08-04T04:00:00+08:00,at_risk,high,0.5888,2025-07-31T12:00:00+08:00
PP-0000614,WH-02,MAT-0200,11597,2025-10-28T09:00:00+08:00,2025-10-30T14:00:00+08:00,completed,normal,0.7191,2025-10-28T15:00:00+08:00
PP-0000615,WH-04,MAT-0145,18128,2026-04-13T07:00:00+08:00,2026-04-15T19:00:00+08:00,completed,urgent,0.5945,2026-04-13T21:00:00+08:00
PP-0000616,WH-04,MAT-0210,2528,2026-05-03T03:00:00+08:00,2026-05-07T00:00:00+08:00,completed,high,0.6863,2026-05-04T08:00:00+08:00
PP-0000617,WH-04,MAT-0216,6328,2026-06-30T04:00:00+08:00,2026-07-02T08:00:00+08:00,completed,normal,0.6736,2026-06-15T08:00:00+08:00
PP-0000618,WH-02,MAT-0100,18963,2026-02-15T15:00:00+08:00,2026-02-18T05:00:00+08:00,planned,high,0.9735,2026-02-16T20:00:00+08:00
PP-0000619,WH-02,MAT-0076,15585,2025-12-17T10:00:00+08:00,2025-12-18T15:00:00+08:00,planned,high,0.7804,2025-12-17T10:00:00+08:00
PP-0000620,WH-04,MAT-0034,8664,2026-03-13T20:00:00+08:00,2026-03-15T13:00:00+08:00,released,normal,0.6273,2026-03-14T16:00:00+08:00
PP-0000621,WH-02,MAT-0118,7772,2026-01-31T01:00:00+08:00,2026-02-04T00:00:00+08:00,at_risk,high,0.7735,2026-02-02T00:00:00+08:00
PP-0000622,WH-02,MAT-0138,2573,2025-07-09T08:00:00+08:00,2025-07-11T14:00:00+08:00,completed,normal,0.9275,2025-07-09T19:00:00+08:00
PP-0000623,WH-02,MAT-0144,7413,2025-10-16T13:00:00+08:00,2025-10-17T14:00:00+08:00,released,high,0.8571,2025-10-17T22:00:00+08:00
PP-0000624,WH-04,MAT-0145,3089,2025-11-30T05:00:00+08:00,2025-12-01T05:00:00+08:00,completed,normal,0.9355,2025-11-30T13:00:00+08:00
PP-0000625,WH-04,MAT-0018,13803,2025-09-30T21:00:00+08:00,2025-10-02T15:00:00+08:00,completed,normal,0.5704,2025-10-02T13:00:00+08:00
PP-0000626,WH-02,MAT-0116,1511,2026-01-21T02:00:00+08:00,2026-01-23T15:00:00+08:00,completed,normal,0.803,2026-01-22T02:00:00+08:00
PP-0000627,WH-02,MAT-0160,7427,2025-10-21T22:00:00+08:00,2025-10-24T20:00:00+08:00,at_risk,urgent,0.9758,2025-10-22T10:00:00+08:00
PP-0000628,WH-02,MAT-0048,7163,2025-09-29T06:00:00+08:00,2025-09-29T15:00:00+08:00,at_risk,high,0.9775,2025-09-29T11:00:00+08:00
PP-0000629,WH-04,MAT-0210,17853,2025-09-02T07:00:00+08:00,2025-09-05T05:00:00+08:00,completed,normal,0.6334,2025-09-04T06:00:00+08:00
PP-0000630,WH-04,MAT-0022,17174,2026-06-12T14:00:00+08:00,2026-06-16T19:00:00+08:00,released,normal,0.5948,2026-06-14T14:00:00+08:00
PP-0000631,WH-04,MAT-0188,15473,2026-04-01T10:00:00+08:00,2026-04-05T04:00:00+08:00,completed,urgent,0.5675,2026-04-03T10:00:00+08:00
PP-0000632,WH-02,MAT-0155,16940,2025-10-26T11:00:00+08:00,2025-10-28T11:00:00+08:00,released,urgent,0.7322,2025-10-26T11:00:00+08:00
PP-0000633,WH-02,MAT-0143,11525,2026-01-25T08:00:00+08:00,2026-01-29T11:00:00+08:00,completed,normal,0.9239,2026-01-26T10:00:00+08:00
PP-0000634,WH-04,MAT-0227,19600,2025-11-02T20:00:00+08:00,2025-11-04T21:00:00+08:00,completed,normal,0.6448,2025-11-03T20:00:00+08:00
PP-0000635,WH-04,MAT-0027,15686,2025-07-05T08:00:00+08:00,2025-07-09T23:00:00+08:00,at_risk,high,0.9995,2025-07-06T13:00:00+08:00
PP-0000636,WH-02,MAT-0199,2014,2026-07-01T04:00:00+08:00,2026-07-05T02:00:00+08:00,at_risk,normal,0.608,2026-06-15T08:00:00+08:00
PP-0000637,WH-04,MAT-0184,4321,2026-05-18T02:00:00+08:00,2026-05-23T00:00:00+08:00,completed,normal,0.8505,2026-05-19T15:00:00+08:00
PP-0000638,WH-02,MAT-0105,17589,2025-12-31T20:00:00+08:00,2026-01-05T16:00:00+08:00,completed,urgent,0.8028,2026-01-01T19:00:00+08:00
PP-0000639,WH-04,MAT-0101,15446,2025-07-13T11:00:00+08:00,2025-07-18T09:00:00+08:00,completed,normal,0.8095,2025-07-14T09:00:00+08:00
PP-0000640,WH-04,MAT-0180,425,2026-05-08T15:00:00+08:00,2026-05-09T21:00:00+08:00,released,normal,0.621,2026-05-10T08:00:00+08:00
PP-0000641,WH-02,MAT-0050,6438,2026-05-23T21:00:00+08:00,2026-05-28T16:00:00+08:00,completed,high,0.5673,2026-05-24T07:00:00+08:00
PP-0000642,WH-04,MAT-0016,1615,2026-07-06T12:00:00+08:00,2026-07-08T22:00:00+08:00,planned,normal,0.7508,2026-06-15T08:00:00+08:00
PP-0000643,WH-02,MAT-0178,13362,2025-12-08T18:00:00+08:00,2025-12-10T20:00:00+08:00,planned,high,0.9487,2025-12-10T17:00:00+08:00
PP-0000644,WH-04,MAT-0069,19515,2026-01-28T08:00:00+08:00,2026-02-01T04:00:00+08:00,completed,urgent,0.9343,2026-01-28T19:00:00+08:00
PP-0000645,WH-04,MAT-0152,10109,2025-11-07T03:00:00+08:00,2025-11-11T12:00:00+08:00,paused,normal,0.9619,2025-11-07T04:00:00+08:00
PP-0000646,WH-04,MAT-0039,16855,2026-01-16T23:00:00+08:00,2026-01-21T17:00:00+08:00,paused,normal,0.8437,2026-01-18T13:00:00+08:00
PP-0000647,WH-02,MAT-0117,6844,2025-10-05T07:00:00+08:00,2025-10-08T09:00:00+08:00,completed,high,0.7761,2025-10-05T20:00:00+08:00
PP-0000648,WH-04,MAT-0238,12747,2025-07-04T04:00:00+08:00,2025-07-07T15:00:00+08:00,completed,normal,0.9495,2025-07-05T00:00:00+08:00
PP-0000649,WH-04,MAT-0177,10382,2026-06-12T23:00:00+08:00,2026-06-14T05:00:00+08:00,released,normal,0.8336,2026-06-14T09:00:00+08:00
PP-0000650,WH-04,MAT-0138,2522,2026-07-06T02:00:00+08:00,2026-07-06T19:00:00+08:00,released,normal,0.6414,2026-06-15T08:00:00+08:00
PP-0000651,WH-02,MAT-0238,3788,2025-11-01T00:00:00+08:00,2025-11-01T12:00:00+08:00,completed,high,0.5834,2025-11-01T23:00:00+08:00
PP-0000652,WH-04,MAT-0034,15848,2026-07-04T11:00:00+08:00,2026-07-07T04:00:00+08:00,planned,normal,0.644,2026-06-15T08:00:00+08:00
PP-0000653,WH-04,MAT-0029,8531,2026-06-24T23:00:00+08:00,2026-06-28T09:00:00+08:00,released,high,0.8793,2026-06-15T08:00:00+08:00
PP-0000654,WH-02,MAT-0033,14455,2026-07-08T10:00:00+08:00,2026-07-10T23:00:00+08:00,planned,high,0.7471,2026-06-15T08:00:00+08:00
PP-0000655,WH-04,MAT-0141,19291,2026-02-03T13:00:00+08:00,2026-02-04T14:00:00+08:00,paused,urgent,0.9684,2026-02-04T01:00:00+08:00
PP-0000656,WH-02,MAT-0023,2093,2026-06-22T02:00:00+08:00,2026-06-22T11:00:00+08:00,released,high,0.7819,2026-06-15T08:00:00+08:00
PP-0000657,WH-04,MAT-0020,2264,2025-10-13T23:00:00+08:00,2025-10-15T04:00:00+08:00,at_risk,high,0.7125,2025-10-14T12:00:00+08:00
PP-0000658,WH-02,MAT-0059,10289,2026-02-20T16:00:00+08:00,2026-02-21T01:00:00+08:00,at_risk,normal,0.7213,2026-02-22T08:00:00+08:00
PP-0000659,WH-02,MAT-0223,2594,2025-09-13T10:00:00+08:00,2025-09-18T04:00:00+08:00,completed,normal,0.6082,2025-09-14T04:00:00+08:00
PP-0000660,WH-02,MAT-0055,17895,2026-05-17T12:00:00+08:00,2026-05-18T06:00:00+08:00,completed,normal,0.9744,2026-05-17T22:00:00+08:00
PP-0000661,WH-02,MAT-0182,795,2026-06-05T06:00:00+08:00,2026-06-06T19:00:00+08:00,completed,high,0.9754,2026-06-06T02:00:00+08:00
PP-0000662,WH-02,MAT-0032,15480,2026-01-15T20:00:00+08:00,2026-01-17T06:00:00+08:00,completed,urgent,0.591,2026-01-15T22:00:00+08:00
PP-0000663,WH-02,MAT-0232,15181,2025-12-15T23:00:00+08:00,2025-12-17T06:00:00+08:00,completed,normal,0.6403,2025-12-17T00:00:00+08:00
PP-0000664,WH-04,MAT-0082,1038,2025-07-04T20:00:00+08:00,2025-07-06T07:00:00+08:00,completed,high,0.7282,2025-07-06T03:00:00+08:00
PP-0000665,WH-02,MAT-0036,17861,2025-10-24T21:00:00+08:00,2025-10-26T21:00:00+08:00,planned,normal,0.6958,2025-10-25T06:00:00+08:00
PP-0000666,WH-04,MAT-0078,3321,2025-10-19T01:00:00+08:00,2025-10-22T21:00:00+08:00,at_risk,normal,0.9641,2025-10-19T21:00:00+08:00
PP-0000667,WH-02,MAT-0193,8133,2026-04-14T14:00:00+08:00,2026-04-15T04:00:00+08:00,planned,normal,0.6891,2026-04-16T13:00:00+08:00
PP-0000668,WH-04,MAT-0068,9878,2025-10-03T15:00:00+08:00,2025-10-07T00:00:00+08:00,completed,high,0.9104,2025-10-03T23:00:00+08:00
PP-0000669,WH-04,MAT-0044,11557,2025-11-18T08:00:00+08:00,2025-11-18T19:00:00+08:00,planned,high,0.5869,2025-11-19T12:00:00+08:00
PP-0000670,WH-02,MAT-0210,9488,2025-11-05T05:00:00+08:00,2025-11-09T13:00:00+08:00,completed,normal,0.6435,2025-11-05T16:00:00+08:00
PP-0000671,WH-02,MAT-0067,12900,2025-12-31T21:00:00+08:00,2026-01-01T14:00:00+08:00,paused,normal,0.9458,2026-01-01T19:00:00+08:00
PP-0000672,WH-02,MAT-0028,7869,2026-03-26T04:00:00+08:00,2026-03-28T18:00:00+08:00,completed,high,0.5894,2026-03-27T14:00:00+08:00
PP-0000673,WH-04,MAT-0214,6005,2026-01-09T21:00:00+08:00,2026-01-14T04:00:00+08:00,released,high,0.6551,2026-01-11T00:00:00+08:00
PP-0000674,WH-02,MAT-0232,10533,2026-02-21T19:00:00+08:00,2026-02-26T09:00:00+08:00,completed,normal,0.7448,2026-02-22T03:00:00+08:00
PP-0000675,WH-04,MAT-0169,18927,2025-09-11T22:00:00+08:00,2025-09-14T19:00:00+08:00,completed,normal,0.6144,2025-09-12T23:00:00+08:00
PP-0000676,WH-02,MAT-0224,2764,2026-06-16T05:00:00+08:00,2026-06-19T10:00:00+08:00,planned,normal,0.8017,2026-06-15T08:00:00+08:00
PP-0000677,WH-02,MAT-0166,6979,2026-04-30T09:00:00+08:00,2026-05-02T20:00:00+08:00,released,high,0.7713,2026-05-02T01:00:00+08:00
PP-0000678,WH-02,MAT-0022,1213,2026-02-07T03:00:00+08:00,2026-02-08T23:00:00+08:00,planned,normal,0.5675,2026-02-08T06:00:00+08:00
PP-0000679,WH-04,MAT-0041,4585,2026-06-12T07:00:00+08:00,2026-06-13T08:00:00+08:00,completed,normal,0.6176,2026-06-14T04:00:00+08:00
PP-0000680,WH-02,MAT-0161,12825,2026-05-05T02:00:00+08:00,2026-05-09T14:00:00+08:00,planned,normal,0.6505,2026-05-05T19:00:00+08:00
PP-0000681,WH-04,MAT-0101,1876,2026-05-04T09:00:00+08:00,2026-05-06T07:00:00+08:00,at_risk,high,0.6289,2026-05-05T09:00:00+08:00
PP-0000682,WH-02,MAT-0221,1984,2026-04-07T03:00:00+08:00,2026-04-10T23:00:00+08:00,planned,urgent,0.8572,2026-04-08T16:00:00+08:00
PP-0000683,WH-04,MAT-0008,13024,2025-12-01T06:00:00+08:00,2025-12-02T10:00:00+08:00,planned,high,0.7556,2025-12-03T00:00:00+08:00
PP-0000684,WH-04,MAT-0115,902,2025-09-12T20:00:00+08:00,2025-09-14T01:00:00+08:00,completed,normal,0.606,2025-09-13T15:00:00+08:00
PP-0000685,WH-04,MAT-0051,5086,2026-02-19T17:00:00+08:00,2026-02-24T12:00:00+08:00,completed,urgent,0.7369,2026-02-20T13:00:00+08:00
PP-0000686,WH-02,MAT-0118,16716,2026-01-17T18:00:00+08:00,2026-01-19T18:00:00+08:00,completed,high,0.676,2026-01-19T03:00:00+08:00
PP-0000687,WH-04,MAT-0226,3888,2025-06-29T11:00:00+08:00,2025-07-01T07:00:00+08:00,completed,normal,0.8492,2025-06-30T06:00:00+08:00
PP-0000688,WH-02,MAT-0124,4959,2025-11-04T11:00:00+08:00,2025-11-07T20:00:00+08:00,planned,normal,0.8921,2025-11-05T22:00:00+08:00
PP-0000689,WH-02,MAT-0177,16192,2026-01-09T19:00:00+08:00,2026-01-13T09:00:00+08:00,released,normal,0.5527,2026-01-10T01:00:00+08:00
PP-0000690,WH-02,MAT-0166,10445,2026-06-30T16:00:00+08:00,2026-07-02T11:00:00+08:00,planned,normal,0.5566,2026-06-15T08:00:00+08:00
PP-0000691,WH-02,MAT-0045,14876,2026-06-24T20:00:00+08:00,2026-06-26T09:00:00+08:00,planned,high,0.5744,2026-06-15T08:00:00+08:00
PP-0000692,WH-02,MAT-0053,3859,2026-05-10T13:00:00+08:00,2026-05-14T07:00:00+08:00,completed,high,0.7285,2026-05-12T08:00:00+08:00
PP-0000693,WH-04,MAT-0193,16022,2025-06-24T11:00:00+08:00,2025-06-28T00:00:00+08:00,at_risk,high,0.6985,2025-06-25T19:00:00+08:00
PP-0000694,WH-04,MAT-0123,18348,2025-10-19T22:00:00+08:00,2025-10-24T07:00:00+08:00,released,high,0.8285,2025-10-21T13:00:00+08:00
PP-0000695,WH-04,MAT-0220,5668,2026-02-19T19:00:00+08:00,2026-02-24T16:00:00+08:00,completed,normal,0.6845,2026-02-21T14:00:00+08:00
PP-0000696,WH-04,MAT-0009,13809,2025-07-18T13:00:00+08:00,2025-07-19T06:00:00+08:00,at_risk,urgent,0.9364,2025-07-19T07:00:00+08:00
PP-0000697,WH-04,MAT-0026,135,2026-01-07T18:00:00+08:00,2026-01-11T20:00:00+08:00,completed,normal,0.8494,2026-01-07T18:00:00+08:00
PP-0000698,WH-02,MAT-0198,3472,2025-09-19T02:00:00+08:00,2025-09-20T11:00:00+08:00,released,normal,0.817,2025-09-20T06:00:00+08:00
PP-0000699,WH-04,MAT-0100,13510,2026-01-29T19:00:00+08:00,2026-02-03T12:00:00+08:00,planned,high,0.8735,2026-01-29T22:00:00+08:00
PP-0000700,WH-04,MAT-0233,3464,2025-08-29T00:00:00+08:00,2025-08-31T15:00:00+08:00,at_risk,normal,0.9677,2025-08-30T15:00:00+08:00
PP-0000701,WH-04,MAT-0110,18215,2026-02-03T09:00:00+08:00,2026-02-04T02:00:00+08:00,released,high,0.9709,2026-02-04T18:00:00+08:00
PP-0000702,WH-04,MAT-0212,5820,2025-08-21T17:00:00+08:00,2025-08-23T12:00:00+08:00,completed,high,0.7737,2025-08-22T14:00:00+08:00
